0,NADI LASQUIBAR,Alameda de Jose Miguel Carretero 19,23373,Jaen,661773289,nlasquiba@mail.com,1977-11-07,man1.jpg,Asistente de Investigacion en Ciencias Sociales,0,Jefe de Operaciones Bomberiles,7,Tecnico de Geologia y Minas,3,Graduado o Graduada en Ingenieria de Aeronavegacio,Universidad de Girona,ingles,6,frances ,0,gallego,5,portugues,0,Flash,python,iphone,php,XML,Visual-Studio,Android,html
1,ANTONIA AMALIA SANTIAS,Camino Rosario Palomino 5 Puerta 1 ,03920,Alicante,739424766,aamalia@yahoo.com,1990-06-04,girl1.jpg,Abogado Jefe,2,Analista de Recursos Humanos,2,Jefe de Relaciones Interinstitucionales,5,Programa Oficial de Doctorado en Enologia y Biotec,Universidad Politecnica de Cartagena,ingles,0,portugues,7,frances ,3,valenciano,1,Ruby-on-rails,php,C,Visual Basic,.Net,Flash,python,sql
2,ABOUBAKAR GRADINARU,Calle de Antonio Alegria 93 Apt. 72 ,51897,Ceuta,622224786,agradinar@yahoo.com,1992-04-13,man2.jpg,Analista de Organizacion y Sistemas ,0,Asistente Ejecutivo de Estudios para Graduados,7,Asistente de Especialista en Informacion,5,Master Universitario en Desarrollo e Integracion d,Universidad Politecnica de Madrid,español,1,gallego,7,portugues,2,arabe,0,Iphone-sdk,python,C++,jquery,Android,asp.net,Ajax,C
3,GABRIELA LILIANA APOLINARIO,C. Lourdes Torralba 47,06508,Badajoz,736921857,gliliana@mail.com,1974-06-03,girl1.jpg,Supervisor de Transporte,6,Archivista Jefe,10,Docente de Artes Plasticas,2,Graduado o Graduada en Lenguas Modernas y sus Lite,Universidad Pablo de Olavide,arabe,0,frances ,9,portugues,2,frances ,0,C++,Objective-c,Django,mysql,php,Flash,Linux,C
4,YUMEI BIZCOCHO,Plaza de Luis Miguel Fuster 695 Piso 4 ,19623,Guadalajara,676925100,ybizcoch@yahoo.com,1972-03-10,girl1.jpg,Gerente de Promocion y Administracion de Espacios ,10,Citotecnologo,5,Abogado Especialista Sectorial,5,Master Universitario en Ingenieria y Tecnologia In,Universidad Loyola Andalucia,italiano,1,italiano,3,holandes,4,aleman,7,Java,javascript,javascript,jquery,Flash,.Net,Django,Iphone-sdk
5,SIDAHMED VELASTEGUI,Alameda Noelia Bru 86 Puerta 6 ,16898,Cuenca,627114551,svelastegu@mail.kz,1980-01-25,man1.jpg,Coralista Lider de Cuerdas,9,Jefe de Taller Automotor,10,Periodista,4,Master Universitario en Biomedicina Molecular por ,Universidad de La Laguna,ingles,2,aleman,9,catalan,2,español,8,Flash,Sql-server,javascript,mysql,database,Flash,Sql-server,Django
6,DIEGO JOEL ROF,Via de Ángeles Trillo 66 Apt. 84 ,44751,Teruel,616443243,djoel@mail.com,1983-08-20,man1.jpg,Jefe Central de Presupuesto,2,Arquitecto,7,Supervisor de Registro y Apoyo Asistencial,9,Master Universitario en Artes Visuales y Educacion,Universidad Politecnica de Madrid,frances ,4,vasco,10,italiano,9,italiano,2,css,Iphone-sdk,Visual Basic,python,asp.net,iphone,sql,php
7,BERNARDINO JESUS BRUNS,Ronda Ignacio Múgica 4 Apt. 35 ,50566,Zaragoza,625672725,bjesus@hotmail.com,1989-02-06,man1.jpg,Asistente de Tesoreria,2,Farmaceutico,6,Especialista en Informacion,8,Doctor en Programa Oficial de Posgrado en sostenib,Universidad Politecnica de Cartagena,arabe,5,portugues,0,arabe,6,portugues,2,Android,Visual-Studio,css,C,Objective-c,jquery,XML,css
8,ALEXANDRA IONELA MIERA,Callejón de Miriam García 52,19778,Guadalajara,695061938,aionela@hotmail.com,1995-10-15,girl2.jpg,Luminotecnico,6,Luminotecnico,10,Entrenador Deportivo,4,Programa de Doctorado en Ciencia e Ingenieria de M,Universidad de Cordoba,vasco,2,arabe,7,ingles,0,arabe,2,XML,Ruby-on-rails,php,Visual-Studio,python,css,C++,Java
9,ANDREAS MICHAEL ALPRESA,Alameda Luisa Miralles 31 Apt. 53 ,22824,Huesca,763647161,amichael@hotmail.com,1972-03-16,man1.jpg,Trabajador Social,0,Asesor Artistico,9,Instructor de Desarrollo en Artes Escenicas,10,Master Universitario en Gestion de Recursos Humano,Universidad Pompeu Fabra,aleman,1,vasco,8,catalan,10,arabe,2,sql,javascript,C++,C++,mysql,jquery,database,.Net
